Episode,Loss,mse,episode_reward
0,173.08598353150254,168788.8119758364,108389.5871268686
0,699.5749853087427,5743420.339643653,15664.641456839898
1,141.89913940429688,1194149.375,133952.22264019924
1,908.3536376953125,5739380.0,10610.245588404552
2,263.433837890625,2646015.75,125657.0973583374
2,910.2442016601562,5743059.5,12619.701659238228
3,1193.2811279296875,5744404.0,11864.894091494518
3,500.8544006347656,3705065.0,129730.95035394243
4,568.8387451171875,4458729.0,139745.0368538688
4,1190.3782958984375,5742556.5,11864.28550100181
5,603.8438110351562,4986744.5,125527.31249594557
5,1745.4873046875,5744337.5,11579.215102436587
6,2005.5096435546875,5718347.0,11750.243494784387
6,612.258544921875,5298017.5,122219.00747018543
7,639.4882202148438,5716055.0,11251.050090303881
7,812.9014282226562,5453787.0,136867.1253220773
8,512.6617431640625,5579042.5,129384.02683601032
8,1726.004150390625,5706776.5,12647.167235971565
9,715.6444702148438,5700003.0,140227.01206640853
9,1180.6820068359375,5701932.5,10969.62587299067
10,645.4381103515625,5707953.5,10422.795049700377
11,920.2601318359375,5725091.5,12157.740788647741
12,1463.409912109375,5726622.5,12232.305674465619
13,2820.57080078125,5717324.0,8984.111561001791
14,1188.9195556640625,5711639.0,9772.261752998033
15,1458.193359375,5702467.0,11711.482102024935
16,914.6995239257812,5692037.5,8997.245828025254
17,1456.7430419921875,5687643.0,14425.763743801654
18,2266.82568359375,5669277.0,13034.251868385893
19,1721.650146484375,5656476.5,11584.219813414691
20,1448.00146484375,5653964.5,15222.409498280875
21,1996.3011474609375,5656590.0,11910.562388103099
22,1723.0479736328125,5648392.5,10696.545244126908
23,1716.830810546875,5642918.0,11677.950329147694
24,2260.830078125,5630457.5,13591.001226421024
25,1988.59912109375,5634219.5,12421.028198928965
26,3327.08984375,5628554.0,10234.029509634403
27,3058.7998046875,5611086.0,13723.82629307903
28,1707.13330078125,5605659.0,11394.21050489577
29,3047.77587890625,5605688.5,10141.809921870556
30,1980.4267578125,5604083.5,16374.869329880124
31,2769.27392578125,5580676.5,12771.458957313585
32,4076.280517578125,5551543.0,13323.377371144614
33,4062.157470703125,5534579.5,14078.791428402745
34,2486.654296875,5532756.0,11667.140448012422
35,2213.165771484375,5526884.5,10215.942516057221
36,2743.65185546875,5515105.5,10669.871508897295
37,3770.806396484375,5500852.0,15356.215862141134
38,1947.3519287109375,5495231.5,13276.128446122022
39,3499.74560546875,5479890.0,14864.266536478135
40,2195.907470703125,5478899.0,11906.358566919635
41,2735.249267578125,5494686.0,16082.891544541704
42,2723.790283203125,5491377.0,9863.250914232965
43,3243.964599609375,5498008.0,13654.760241682754
44,4528.33203125,5476658.0,10443.550034488238
45,2191.89599609375,5465337.5,9609.625459996798
46,1917.1011962890625,5458204.5,14642.102370391669
47,2948.080322265625,5450179.0,12895.300325068793
48,2951.2421875,5441220.5,12967.890255784303
49,3714.53515625,5422939.0,15450.372360717027
50,4997.509765625,5405764.0,12058.056936303468
51,2694.04248046875,5398136.0,9649.134108932401
52,4217.85400390625,5379366.0,12888.333969274292
53,3930.281005859375,5362543.0,11325.497797828395
54,6137.6865234375,5355371.0,518.4625
55,3169.143310546875,5351137.5,11052.011685541514
56,3157.6904296875,5343579.5,11348.965430245771
57,4417.63623046875,5329385.0,10183.139724540877
58,4384.0341796875,5291289.0,13756.30679011792
59,4885.6923828125,5282757.0,11167.586931639747
60,3631.99609375,5280129.5,13873.558536539447
61,3875.900146484375,5254702.0,12245.258723698602
62,4359.40673828125,5240721.5,9408.95834293239
63,3596.439697265625,5231738.5,11364.403861493847
64,3348.048828125,5226701.5,13750.756544136571
65,6779.533203125,5203553.0,11565.435158317201
66,5441.0205078125,5172560.0,11208.667158305705
67,4257.5205078125,5151651.5,12833.29713607934
68,4733.03759765625,5129895.0,10136.894376113734
69,3682.60791015625,5124600.5,10134.482360723117
70,5845.4697265625,5112164.5,13426.897958149239
71,4221.99072265625,5104448.0,11942.834646603815
72,4458.703125,5090825.0,12679.99198190744
73,4134.22021484375,5078254.5,12098.417125702505
74,5615.4072265625,5044997.0,11131.817870144036
75,3941.91357421875,5035653.0,14699.119927533884
76,6087.2880859375,5031788.0,17413.7308962344
77,4878.07177734375,5028788.0,14034.093920464054
78,3366.2587890625,5021592.5,12089.826220783485
79,5264.77734375,5016740.0,13081.120485664456
80,6340.66357421875,4993514.0,12364.295533630639
81,6350.638671875,4968374.5,10664.416917398657
82,5891.63330078125,4969985.5,9071.789123373866
83,5741.08251953125,4965922.0,11232.897593097183
84,3893.5986328125,4965325.5,16499.307523382085
85,4345.37890625,4955740.5,11098.049089142365
86,4358.02685546875,4958602.0,16720.063577905577
87,4831.9013671875,4960185.0,12551.621441574498
88,5988.70263671875,4942281.5,11936.112789794068
89,5737.32421875,4914500.5,12764.838558632307
90,4767.32470703125,4896990.5,10496.19988500436
91,3147.781494140625,4898863.0,905.59
92,5714.978515625,4899612.0,13123.314728539397
93,5423.67236328125,4883358.0,12442.543377017171
94,4052.71923828125,4870957.5,8332.059275224965
95,97.36531066894531,4883128.0,647.6055
96,6543.94482421875,4856501.0,11411.917585990643
97,5721.525390625,4832405.5,12008.121228664679
98,4466.5166015625,4803888.0,11304.728064314502
99,4559.1875,4789579.0,12774.487711146227
100,6523.00439453125,4762382.0,11172.062295179941
101,5437.63916015625,4743009.0,13050.863254362734
